state,program_type,grad_100,grad_100_rate
Virginia,2y all,28.85,42.39
Virginia,2y all,44.49,37.53
Virginia,2y all,32.21,35.38
Virginia,2y all,34.54,37.91
Virginia,2y all,47.94,38.85
Virginia,2y all,47.18,42.34
Virginia,2y all,28.2,38.93
Virginia,2y all,60.84,41.96
Virginia,2y all,57.28,42.93
Virginia,2y all,49.64,35.88
Virginia,2y all,47.49,40.25
Virginia,2y all,57.81,33.2
Virginia,2y all,66.78,42.3
Virginia,2y all,54.58,38.32
Virginia,2y all,39.64,37
Virginia,2y all,47.24,42.3
Virginia,2y all,39.09,40
Virginia,2y all,29.46,35.33
Virginia,2y all,67.72,33.28
Virginia,2y all,56.01,36.65
Virginia,2y all,35.76,42.37
Virginia,2y all,46.88,36.54
Virginia,2y all,50.73,39.23
Virginia,2y all,56.75,35.31
Virginia,2y all,52.2,36.79
Virginia,2y all,30.52,42.6
Virginia,2y all,43.43,34.57
Virginia,2y all,60.7,34.98
Virginia,2y all,39.48,36.69
Virginia,2y all,32.36,38.34
Virginia,2y all,49.48,33.83
Virginia,2y all,38.1,37.81
Virginia,2y all,65.99,37.94
Virginia,2y all,37.75,41.98
Virginia,2y all,59.16,42.7
Virginia,2y all,54.74,33.5
Virginia,2y all,30.68,37.56
Virginia,2y all,39.6,36.19
Virginia,2y all,25.58,42.39
Virginia,2y all,48.04,33.06
Virginia,2y all,61.84,38.81
Virginia,2y all,48.48,33.49
Virginia,2y all,48.47,40.05
Virginia,2y all,52.22,41.52
Virginia,2y all,36.24,40.27
Virginia,2y all,37.07,33.13
Virginia,2y all,49.86,40.17
Virginia,2y all,38.34,42.69
Virginia,2y all,61.25,38.97
Virginia,2y all,55.38,40.15
Virginia,2y all,61.39,41.25
Virginia,2y all,45.54,33.94
Virginia,2y all,50.02,40.71
Virginia,2y all,58.63,38.79
Virginia,2y all,45.3,41.74
Virginia,2y all,27.3,37.31
Virginia,2y all,34.85,38.39
Virginia,2y all,34.3,38.84
Virginia,2y all,56.01,41.99
Virginia,2y all,59.65,42.74
Virginia,2y all,32.74,41.7
Virginia,2y all,41,34.2
Virginia,2y all,29.69,37.7
Virginia,2y all,56.57,34.52
Virginia,2y all,31.54,38.19
Virginia,2y all,23.18,39.3
Virginia,2y all,45.74,39.85
Virginia,2y all,62.33,38.57
Virginia,2y all,50.81,33.22
Virginia,2y all,49.28,40.58
Virginia,2y all,59.75,33.13
Virginia,2y all,45.04,37.5
Virginia,2y all,56.64,34.88
Virginia,2y all,58.26,36.88
Virginia,2y all,65.97,34.75
Virginia,2y all,54.66,39.08
Virginia,2y all,67.06,35.6
Virginia,2y all,48.91,39.65
Virginia,2y all,28.03,42.52
Virginia,2y all,60.31,34.1
Virginia,2y all,40.74,38.5
Washington,2y all,49.42,41.81
Washington,2y all,57.77,36.59
Washington,2y all,40.67,36.91
Washington,2y all,57.77,35.56
Washington,2y all,56.17,37.33
Washington,2y all,26.64,41.99
Washington,2y all,56.17,41.21
Washington,2y all,34.9,34.08
Washington,2y all,32.72,37.17
Washington,2y all,40.78,38.52
Washington,2y all,46.15,37.89
Washington,2y all,36.15,41.87
Washington,2y all,61.67,39.89
Washington,2y all,53.23,40.54
Washington,2y all,26.95,38.46
Washington,2y all,63.9,39.45
Washington,2y all,45.59,37.72
Washington,2y all,50.74,34.75
Washington,2y all,64.03,35.36
Washington,2y all,42.85,36.37
Washington,2y all,31.06,42.68
Washington,2y all,64.67,33.42
Washington,2y all,28.04,38.36
Washington,2y all,29.58,42.56
Washington,2y all,26.21,38.3
Washington,2y all,59.12,41.37
Washington,2y all,26.97,33.84
Washington,2y all,52.41,35.02
Washington,2y all,51.17,37.22
Washington,2y all,59.96,36.05
Washington,2y all,47.59,39.97
Washington,2y all,49.96,40.01
Washington,2y all,26.42,38.28
Washington,2y all,57.74,36.81
Washington,2y all,23.42,33.81
Washington,2y all,42.62,37.97
Washington,2y all,59.77,42.13
Washington,2y all,32.12,36.07
Washington,2y all,26.58,37.77
Washington,2y all,59.68,39.9
Washington,2y all,27.65,34.22
Washington,2y all,28.68,34.72
Washington,2y all,50.55,38.94
Washington,2y all,42.36,35.55
Washington,2y all,61.3,35.1
Washington,2y all,31.08,38.94
Washington,2y all,53.62,34.19
Washington,2y all,35.78,34.07
Washington,2y all,33.19,34.39
Washington,2y all,62.15,41.13
Washington,2y all,63.75,34.5
Washington,2y all,60.22,36.74
Washington,2y all,45.66,36.71
Washington,2y all,67.75,38.39
Washington,2y all,51.18,38.06
Washington,2y all,32.26,39.11
Washington,2y all,50,38.29
Washington,2y all,34.01,33.99
Washington,2y all,56.45,40.22
Washington,2y all,62.37,39.75
Washington,2y all,32.07,37.27
Washington,2y all,53.87,36.28
Washington,2y all,60.1,33.08
Washington,2y all,60.4,42.41
Washington,2y all,44.34,41.66
Washington,2y all,63.53,34.27
Washington,2y all,57.32,39.93
Washington,2y all,34.62,40.95
Washington,2y all,36.14,35.95
Washington,2y all,30.07,39.87
Washington,2y all,27.57,36.5
Washington,2y all,31.08,37.82
Washington,2y all,62.89,42.3
Washington,2y all,30.96,41.24
Washington,2y all,60.41,42.08
Washington,2y all,59.63,38.36
Washington,2y all,49.22,36.36
Washington,2y all,37.73,34.48
Washington,2y all,54.89,41.14
Washington,2y all,48,42.76
Washington,2y all,49.03,41.36
Washington,2y all,44,39.11
Washington,2y all,40.41,33.81
Washington,2y all,49.94,37.5
Washington,2y all,46.52,34.58
Washington,2y all,50.99,35.55
Washington,2y all,55.31,36.93
Washington,2y all,29.05,35.36
Washington,2y all,57.59,42.56
Washington,2y all,31.15,41.1
Washington,2y all,54.7,39.61
Washington,2y all,55.3,40.12
Washington,2y all,44.91,39.07
Washington,2y all,36.72,35.65
Washington,2y all,44.56,36.39
Washington,2y all,25.68,41.19
Washington,2y all,41.81,39.36
Washington,2y all,53.19,40.47
Washington,2y all,64.7,42.09
Washington,2y all,44.35,35.99
Washington,2y all,40.78,38.77
Washington,2y all,55.62,37.28
Washington,2y all,43.07,37.17
Washington,2y all,46.07,37.71
Washington,2y all,39.21,37.82
Washington,2y all,39.39,42.62
Washington,2y all,35.86,40.08
Washington,2y all,30.27,37.03
West Virginia,2y all,25.02,40.86
West Virginia,2y all,41.66,42.42
West Virginia,2y all,23.57,41.9
West Virginia,2y all,48.01,39.23
West Virginia,2y all,51.3,37.44
West Virginia,2y all,64.91,39.06
West Virginia,2y all,28.09,35.36
West Virginia,2y all,36.75,41.65
West Virginia,2y all,59.42,41.1
West Virginia,2y all,55.98,35.14
West Virginia,2y all,30.41,35.53
West Virginia,2y all,62.33,37.6
West Virginia,2y all,43.63,35.57
West Virginia,2y all,43.79,39.2
West Virginia,2y all,42.41,38.19
West Virginia,2y all,27.78,35.72
West Virginia,2y all,59.01,40.77
West Virginia,2y all,42.97,35.23
West Virginia,2y all,50.98,33.59
West Virginia,2y all,59.22,41.67
West Virginia,2y all,50.81,39.9
West Virginia,2y all,35.55,36.61
West Virginia,2y all,44.38,40.43
West Virginia,2y all,51.19,39.48
West Virginia,2y all,51.2,38.46
West Virginia,2y all,51.2,36.23
West Virginia,2y all,46.66,38.94
West Virginia,2y all,63.48,38.41
West Virginia,2y all,47.26,41.84
West Virginia,2y all,62.88,34.44
West Virginia,2y all,40.22,35.31
West Virginia,2y all,29.16,40.68
West Virginia,2y all,59.96,35.14
West Virginia,2y all,46.99,34.03
West Virginia,2y all,45.18,41.23
West Virginia,2y all,47.11,34.88
West Virginia,2y all,40.95,41.51
West Virginia,2y all,63.27,33.44
West Virginia,2y all,32.73,41.1
West Virginia,2y all,46.15,39.78
West Virginia,2y all,58.53,33.48
West Virginia,2y all,64.06,39.83
West Virginia,2y all,31.48,37.51
West Virginia,2y all,45.45,34.14
West Virginia,2y all,47.42,38.53
West Virginia,2y all,32.75,35.86
West Virginia,2y all,29.51,35.27
West Virginia,2y all,56.78,41.19
West Virginia,2y all,30.16,35.16
West Virginia,2y all,38.62,36.33
West Virginia,2y all,25.07,33.44
West Virginia,2y all,43.27,36.55
West Virginia,2y all,54.83,38.14
West Virginia,2y all,46.36,41.87
West Virginia,2y all,24.02,36.45
West Virginia,2y all,39.36,41.91
West Virginia,2y all,65.7,34.82
West Virginia,2y all,53.73,33.08
West Virginia,2y all,43.72,36.03
West Virginia,2y all,39.54,41.5
West Virginia,2y all,25.68,41.15
West Virginia,2y all,46.98,34.93
West Virginia,2y all,51.24,37.12
West Virginia,2y all,23.85,42.51
West Virginia,2y all,30.79,34.17
West Virginia,2y all,49.11,33.82
West Virginia,2y all,63.38,40.54
West Virginia,2y all,64.1,35.06
West Virginia,2y all,55.69,34.41
West Virginia,2y all,37.06,42.58
West Virginia,2y all,56.8,37.58
West Virginia,2y all,23.96,34.58
West Virginia,2y all,43.97,35.41
West Virginia,2y all,57.57,42.5
West Virginia,2y all,57.91,37.82
West Virginia,2y all,39.23,36.07
West Virginia,2y all,30.1,38.68
West Virginia,2y all,43.79,40.17
West Virginia,2y all,30.61,38.52
West Virginia,2y all,25.71,37.14
West Virginia,2y all,60.81,36.82
West Virginia,2y all,38.52,39.84
West Virginia,2y all,43.78,35.86
West Virginia,2y all,32.3,41.57
West Virginia,2y all,63.96,35.01
West Virginia,2y all,24.87,33.46
West Virginia,2y all,42.52,37.51
West Virginia,2y all,26.87,39.8
West Virginia,2y all,49.35,42.82
West Virginia,2y all,46.3,33.39
West Virginia,2y all,46.57,38.72
West Virginia,2y all,48.42,33.13
West Virginia,2y all,63.18,37.18
West Virginia,2y all,42.81,40.29
West Virginia,2y all,49.1,34.89
West Virginia,2y all,31.49,33.16
West Virginia,2y all,44.54,33.96
West Virginia,2y all,33.48,37.03
West Virginia,2y all,25.51,34.72
West Virginia,2y all,43.19,34.21
West Virginia,2y all,62.72,36.46
West Virginia,2y all,64.22,39.25
West Virginia,2y all,42.72,35.48
West Virginia,2y all,43.81,42.9
West Virginia,2y all,65.49,37.53
West Virginia,2y all,58.44,41.19
West Virginia,2y all,46.13,38.56
West Virginia,2y all,66.83,39.99
Wisconsin,2y all,66.22,39.74
Wisconsin,2y all,29.2,40.83
Wisconsin,2y all,43.96,37.66
Wisconsin,2y all,50.37,41.03
Wisconsin,2y all,49.25,36.98
Wisconsin,2y all,33.14,33.84
Wisconsin,2y all,50.28,39.12
Wisconsin,2y all,43.36,40.05
Wisconsin,2y all,57.99,38.67
Wisconsin,2y all,64,38.35
Wisconsin,2y all,40.72,35.52
Wisconsin,2y all,63.61,36.56
Wisconsin,2y all,62.43,41.98
Wisconsin,2y all,64.46,40.77
Wisconsin,2y all,39.88,35.22
Wisconsin,2y all,45.45,37.09
Wisconsin,2y all,40.63,41.24
Wisconsin,2y all,46.27,34.34
Wisconsin,2y all,52.66,33.15
Wisconsin,2y all,67.79,38.13
Wisconsin,2y all,55.7,34.63
Wisconsin,2y all,27.16,39.37
Wisconsin,2y all,51.83,35.68
Wisconsin,2y all,67.29,38.98
Wisconsin,2y all,60.64,37.64
Wisconsin,2y all,37.1,37.19
Wisconsin,2y all,24.63,38.23
Wisconsin,2y all,43.33,37.88
Wisconsin,2y all,34.8,39.59
Wisconsin,2y all,44.72,37.41
Wisconsin,2y all,51.69,36.93
Wisconsin,2y all,66.82,40.6
Wisconsin,2y all,29.36,38.94
Wisconsin,2y all,57.35,37
Wisconsin,2y all,60.61,42.61
Wisconsin,2y all,28.06,38.79
Wisconsin,2y all,31.54,41.48
Wisconsin,2y all,29.86,34.14
Wisconsin,2y all,44.99,38.92
Wisconsin,2y all,44.69,37.55
Wisconsin,2y all,36.72,41.78
Wisconsin,2y all,39.97,42.32
Wisconsin,2y all,53.72,35.93
Wisconsin,2y all,42.11,34.28
Wisconsin,2y all,56.22,36.83
Wisconsin,2y all,43.95,41.81
Wisconsin,2y all,50.55,36.78
Wisconsin,2y all,40.81,37.96
Wisconsin,2y all,45.23,42.48
Wisconsin,2y all,35.98,40.09
Wisconsin,2y all,23.16,35
Wisconsin,2y all,34.25,36.18
Wisconsin,2y all,41,38.63
Wisconsin,2y all,32.4,37.72
Wisconsin,2y all,53.97,39.29
Wisconsin,2y all,46.29,42.23
Wisconsin,2y all,36.49,38.73
Wisconsin,2y all,29.53,35.13
Wisconsin,2y all,57.93,37.49
Wisconsin,2y all,30.8,40.21
Wisconsin,2y all,48.94,36.99
Wisconsin,2y all,35.13,41.27
Wisconsin,2y all,65.26,40.97
Wisconsin,2y all,35.86,40.38
Wisconsin,2y all,54,34.37
Wisconsin,2y all,36.24,33.69
Wisconsin,2y all,28.88,33.93
Wisconsin,2y all,39.7,41.99
Wisconsin,2y all,34.91,35.97
Wisconsin,2y all,41.2,41.02
Wisconsin,2y all,63.05,39.41
Wisconsin,2y all,26.26,34.3
Wisconsin,2y all,42.72,36.89
Wisconsin,2y all,29.8,35.06
Wisconsin,2y all,67.96,36.38
Wisconsin,2y all,37.41,42.06
Wisconsin,2y all,39.26,35.19
Wisconsin,2y all,48.4,34.97
Wisconsin,2y all,54.81,34.07
Wisconsin,2y all,34.07,39.39
Wisconsin,2y all,56.85,38.56
Wisconsin,2y all,64.2,41.98
Wisconsin,2y all,47.7,34.95
Wisconsin,2y all,45.92,41.38
Wisconsin,2y all,41.41,34.43
Wisconsin,2y all,53.78,38.29
Wisconsin,2y all,67.02,41.48
Wisconsin,2y all,59.96,34.6
Wisconsin,2y all,36.82,42.88
Wisconsin,2y all,51.51,38.37
Wisconsin,2y all,56.81,39.82
Wisconsin,2y all,53.58,37.13
Wisconsin,2y all,54.96,39.1
Wisconsin,2y all,49.49,38.91
Wisconsin,2y all,63.05,37.06
Wisconsin,2y all,24.97,34.74
Wisconsin,2y all,57.64,41.2
Wisconsin,2y all,24.31,35.83
Wisconsin,2y all,56.51,41.93
Wisconsin,2y all,66.77,33.94
Wisconsin,2y all,53.86,38.48
Wisconsin,2y all,28.88,38.55
Wisconsin,2y all,41.8,41.64
Wisconsin,2y all,56.35,36.97
Wisconsin,2y all,31.19,38.09
Wisconsin,2y all,36.99,40.48
Wisconsin,2y all,33.94,33.67
Wisconsin,2y all,42.51,40.89
Wyoming,2y all,63.62,39.24
Wyoming,2y all,52.22,42.07
Wyoming,2y all,44.78,39.08
Wyoming,2y all,41.54,34.95
Wyoming,2y all,50.79,38.83
Wyoming,2y all,23.78,40.75
Wyoming,2y all,47.87,38.16
Wyoming,2y all,62.32,39.71
Wyoming,2y all,58.61,36
Wyoming,2y all,60.27,39.42
Wyoming,2y all,35.29,36.15
Wyoming,2y all,44.85,39.6
Wyoming,2y all,42.2,35.19
Wyoming,2y all,65.53,35.46
Wyoming,2y all,66.69,40.62
Wyoming,2y all,43.78,37.08
Wyoming,2y all,25.23,42.14
Wyoming,2y all,23.65,35.91
Wyoming,2y all,29.85,38.94
Wyoming,2y all,49.94,38.05
Wyoming,2y all,66.18,36.47
Wyoming,2y all,30.55,33.34
Wyoming,2y all,43.33,34.74
Wyoming,2y all,47.39,33.48
Wyoming,2y all,60.54,36.28
Wyoming,2y all,24.75,42.19
Wyoming,2y all,43.56,37.71
Wyoming,2y all,56.55,41.48
Wyoming,2y all,64.99,40.13
Wyoming,2y all,37.52,34.66
Wyoming,2y all,29.25,34.09
Wyoming,2y all,57.31,34.07
Wyoming,2y all,51.98,35.01
Wyoming,2y all,49.95,41.81
Wyoming,2y all,62.69,36.09
Wyoming,2y all,51.81,35.55
Wyoming,2y all,61.75,38.09
Wyoming,2y all,33.38,37.19
Wyoming,2y all,42.22,34.86
Wyoming,2y all,32.04,39.97
Wyoming,2y all,30.04,37.2
Wyoming,2y all,48.24,41.86
Wyoming,2y all,63.35,39.84
Wyoming,2y all,35.7,36.34
Wyoming,2y all,51.2,35.57
Wyoming,2y all,55.35,34.26
Wyoming,2y all,62.03,41.86
Wyoming,2y all,34.47,35.79
Wyoming,2y all,44.74,38.63
Wyoming,2y all,54.81,37.27
Wyoming,2y all,24.71,34.89
Wyoming,2y all,49.01,42.14
Wyoming,2y all,55.66,41.76
Wyoming,2y all,26.77,40.9
Wyoming,2y all,65.8,34.89
Wyoming,2y all,24.47,34.25
Wyoming,2y all,64.84,42.95
Wyoming,2y all,32.22,40.14
Wyoming,2y all,49.02,41.96
Wyoming,2y all,39.32,40.34
Wyoming,2y all,55.42,34.27
Wyoming,2y all,23.46,42.79
Wyoming,2y all,55.4,37.2
Wyoming,2y all,40.37,33.15
Wyoming,2y all,49.06,38.48
Wyoming,2y all,44.29,40.54
Wyoming,2y all,27.41,40.42
Wyoming,2y all,40.09,33.23
Wyoming,2y all,52.35,33.62
Wyoming,2y all,57.24,33.36
Wyoming,2y all,25.26,35.77
Wyoming,2y all,35.01,40.21
Wyoming,2y all,36.34,40.96
Wyoming,2y all,33.38,39.43
Wyoming,2y all,39.25,39.17
Wyoming,2y all,23.89,41.36
Wyoming,2y all,54.16,38.28
Wyoming,2y all,65.12,42.91
Wyoming,2y all,27.08,35.44
Wyoming,2y all,39.74,41.88
Wyoming,2y all,52.78,33.88
Wyoming,2y all,59.97,33.17
Wyoming,2y all,35.51,39.43
Wyoming,2y all,67.54,37.49
Wyoming,2y all,58.38,37.22
Wyoming,2y all,27.48,40.39
Wyoming,2y all,51.58,39.16
Wyoming,2y all,55.06,42.82
Wyoming,2y all,31.92,38.95
Wyoming,2y all,54.78,38.54
Wyoming,2y all,53.74,42.16
Wyoming,2y all,28.84,38.04
Wyoming,2y all,27.1,38.52
Wyoming,2y all,29.54,42.16
Wyoming,2y all,53.89,39.59
Wyoming,2y all,30.13,35.77
Wyoming,2y all,27.41,41.1
Wyoming,2y all,60.63,39.07
Wyoming,2y all,37.71,39.23
Wyoming,2y all,38.01,37.93
Wyoming,2y all,63.57,36.46
Wyoming,2y all,34.5,41.22
Wyoming,2y all,30.23,37.67
Wyoming,2y all,25.34,33.93
Wyoming,2y all,48.41,40.7
Wyoming,2y all,39.39,38.46
Wyoming,2y all,56.76,34.79
Wyoming,2y all,59.77,38.16
Alabama,2y all,54.09,33.9
Alabama,2y all,48.58,41.93
Alabama,2y all,41.87,33.48
Alabama,2y all,36.55,40.7
Alabama,2y all,65.94,34.53
Alabama,2y all,47.4,35.98
Alabama,2y all,49,39.68
Alabama,2y all,39.86,35.32
Alabama,2y all,41.62,40.63
Alabama,2y all,58.75,42.17
Alabama,2y all,36.98,40.7
Alabama,2y all,33.37,40.55
Alabama,2y all,34.91,41.91
Alabama,2y all,33.94,35.74
Alabama,2y all,23.34,41.42
Alabama,2y all,63.47,36.76
Alabama,2y all,34.63,35.51
Alabama,2y all,67.72,40.01
Alabama,2y all,41.27,36.67
Alabama,2y all,67.37,37.81
Alabama,2y all,35.42,35.8
Alabama,2y all,23.97,33.27
Alabama,2y all,62.01,39
Alabama,2y all,34.46,36.35
Alabama,2y all,60.29,40.11
Alabama,2y all,37.79,35.21
Alabama,2y all,30.86,33.82
Alabama,2y all,33.78,34.88
Alabama,2y all,55.63,36.42
Alabama,2y all,28.47,42.4
Alabama,2y all,58.68,33.88
Alabama,2y all,39.44,40.39
Alabama,2y all,28.28,35.96
Alabama,2y all,29.2,41.46
Alabama,2y all,50.54,40.84
Alabama,2y all,35.51,38.23
Alabama,2y all,26.6,42.55
Alabama,2y all,66.1,37.1
Alabama,2y all,40.15,33.57
Alabama,2y all,26.78,34.57
Alabama,2y all,53.36,39.43
Alabama,2y all,64.96,35.61
Alabama,2y all,57.77,40.95
Alabama,2y all,30.59,34.98
Alabama,2y all,34.13,41.48
Alabama,2y all,49.76,41.04
Alabama,2y all,33.4,40.53
Alabama,2y all,61.27,38.33
Alabama,2y all,37.2,42.27
Alabama,2y all,62.1,37.62
Alabama,2y all,34.94,39.28
Alabama,2y all,23.58,35.01
Alabama,2y all,51.07,33.73
Alabama,2y all,36.55,42.04
Alabama,2y all,40.64,42.71
Alabama,2y all,56.17,36.85
Alabama,2y all,59.89,34.12
Alabama,2y all,60.52,35.73
Alabama,2y all,30.05,42.53
Alabama,2y all,35.57,33.19
Alabama,2y all,60.82,40.47
Alabama,2y all,44.52,42.05
Alabama,2y all,62.52,42.79
Alabama,2y all,34.07,39.57
Alabama,2y all,41.47,33.98
Alabama,2y all,32.32,35.81
Alabama,2y all,47.1,37.15
Alabama,2y all,60.14,41.54
Alabama,2y all,38.54,36.31
Alabama,2y all,31.05,40.51
Alabama,2y all,58.77,33.82
Alabama,2y all,50.36,41.03
Alabama,2y all,44.02,33.69
Alabama,2y all,40.97,42.6
Alabama,2y all,38.5,37.84
Alabama,2y all,38.78,35.89
Alabama,2y all,63.14,39.43
Alabama,2y all,56.12,41.41
Alabama,2y all,26.43,35.33
Alabama,2y all,29.06,40.8
Alabama,2y all,35.21,34.46
Alabama,2y all,43.2,33.44
Alabama,2y all,29.54,35.54
Alabama,2y all,26.59,42.16
Alabama,2y all,23.3,37.81
Alabama,2y all,41.04,33.76
Alabama,2y all,43.83,36.86
Alabama,2y all,62.13,41.89
Alabama,2y all,40.09,39.36
Alabama,2y all,43.91,36.39
Alabama,2y all,35.18,42.82
Alabama,2y all,32.34,41.1
Alabama,2y all,67.22,41.23
Alabama,2y all,38.62,42.45
Alabama,2y all,25.88,39.96
Alabama,2y all,51.91,39.16
Alabama,2y all,47.81,37.63
Alabama,2y all,30.92,36.12
Alabama,2y all,61.91,40.72
Alabama,2y all,43.09,42.23
Alabama,2y all,31.56,39.92
Alabama,2y all,32.97,41.21
Alabama,2y all,26.29,40.91
Alabama,2y all,51.34,36.5
Alabama,2y all,42.16,40.6
Alabama,2y all,33.73,35.03
Alabama,2y all,35.98,42.23
Alabama,2y all,38.95,41.05
Alabama,2y all,36.85,37.89
Alabama,2y all,64.92,36.55
Alabama,2y all,57.78,36.66
Alabama,2y all,24.67,36.43
Alabama,2y all,56.3,37.73
Alabama,2y all,36.49,42.08
Alabama,2y all,31.55,34.62
Alabama,2y all,58.75,33.87
Alabama,2y all,62.43,42.69
Alabama,2y all,34.24,41.43
Alabama,2y all,40.18,34.43
Alabama,2y all,33.36,40.3
Alabama,2y all,23.07,36.8
Alabama,2y all,45.57,38.83
Alabama,2y all,36.35,33.2
Alabama,2y all,37.71,42.49
Alabama,2y all,30.17,38.2
Alabama,2y all,32.91,39.6
Alabama,2y all,39.74,39.5
Alabama,2y all,26.96,41.64
Alabama,2y all,40.02,39.95
Alabama,2y all,67.78,36.43
Alabama,2y all,35.23,41.7
Alabama,2y all,41.57,40.1
Alabama,2y all,61.08,41.41
Alabama,2y all,29.34,37.88
Alabama,2y all,58.13,41.85
Alabama,2y all,37.63,35.79
Alabama,2y all,40.34,41.38
Alabama,2y all,30.13,33.58
Alabama,2y all,37.71,40.68
Alabama,2y all,53.47,34.22
Alabama,2y all,55.87,40.33
Alabama,2y all,67.96,33.51
Alabama,2y all,65.86,41.63
Alabama,2y all,29.85,35
Alabama,2y all,23.32,34.88
Alabama,2y all,24.54,39.63
Alabama,2y all,35.95,34.06
Alabama,2y all,60.56,40.25
Alabama,2y all,23.27,37.46
Alabama,2y all,36.3,42.92
Alabama,2y all,63,35.16
Alabama,2y all,23.56,33.02
Alabama,2y all,34.56,36.55
Alabama,2y all,67.24,42.41
Alabama,2y all,67.48,41.61
Alabama,2y all,34.04,34.71
Alabama,2y all,54.36,35.74
Alabama,2y all,67.18,33.17
Alabama,2y all,46.42,39.16
Alabama,2y all,64.39,36.4
Alabama,2y all,27.12,33.23
Alabama,2y all,36.28,39.65
Alabama,2y all,56.86,37.55
Alabama,2y all,23.26,36.73
Alabama,2y all,31.15,37.35
Alabama,2y all,67.54,34.41
Alabama,2y all,34.94,40
Alabama,2y all,66.87,35.32
Alabama,2y all,61.61,33.4
Alabama,2y all,28.99,38.6
Alabama,2y all,31.31,39.38
Alabama,2y all,56.34,39.98
Alabama,2y all,61.42,41.58
Alabama,2y all,42.46,33.82
Alabama,2y all,67.55,34.18
Alabama,2y all,31.34,35.11
Alabama,2y all,49.74,35.53
Alabama,2y all,27.25,38.87
Alabama,2y all,27.35,33.45
Alabama,2y all,37.11,39.57
Alabama,2y all,42.52,41.93
Alabama,2y all,23.12,36.33
Alabama,2y all,51.42,33.6
Alabama,2y all,65.59,36.82
Alabama,2y all,35.89,41.4
Alabama,2y all,49.56,38.82
Alabama,2y all,63.78,35.51
Alabama,2y all,49.44,34.44
Alabama,2y all,51.98,36.39
Alabama,2y all,41.33,35.19
Alabama,2y all,30.7,39.93
Alabama,2y all,57.5,40.98
Alabama,2y all,42.37,33.58
Alabama,2y all,37.53,42.41
Alabama,2y all,29.89,33.11
Alabama,2y all,25.3,39.66
Alabama,2y all,64.57,40.98
Alabama,2y all,41.88,41.44
Alabama,2y all,60.67,36.32
Alabama,2y all,57.39,41.28
Alabama,2y all,65.4,40.71
Alabama,2y all,55.84,36.76
Alabama,2y all,32,38.27
Alabama,2y all,24.41,35.52
Alabama,2y all,63.22,33.21
Alabama,2y all,59.74,34.88
Alabama,2y all,49.58,35.9
Alabama,2y all,23.53,35.98
Alabama,2y all,44.74,33.36
Alabama,2y all,28.01,42.47
Alabama,2y all,52.15,41.33
Alabama,2y all,27.09,42.06
Alabama,2y all,55.23,37.79
Alabama,2y all,45.82,40.54
Alabama,2y all,45.43,33.94
Alabama,2y all,27.44,34.53
Alabama,2y all,32.36,33.39
Alabama,2y all,30.42,38.64
Alabama,2y all,31.57,33.9
Alabama,2y all,41.56,35.32
Alabama,2y all,36.57,33.44
Alabama,2y all,53.69,37.74
Alabama,2y all,60.95,33.94
Alabama,2y all,39.57,39.95
Alabama,2y all,29.99,40.4
Alabama,2y all,60.34,42.26
Alabama,2y all,26.53,41.11
Alabama,2y all,23.97,33.54
Alabama,2y all,38.85,33.54
Alabama,2y all,62.29,39.65
Alabama,2y all,46.83,39.35
Alabama,2y all,29.71,37.78
Alabama,2y all,64.19,34.68
Alabama,2y all,57.52,35.65
Alabama,2y all,65.38,41.78
Alabama,2y all,43.05,41.54
Alabama,2y all,64.82,41.25
Alabama,2y all,50.29,41.23
Alabama,2y all,44.95,34.34
Alabama,2y all,28.1,33.57
Alabama,2y all,55.24,33.15
Alabama,2y all,56.86,41.24
Alabama,2y all,36.2,40.57
Alabama,2y all,40.23,35.32
Alabama,2y all,38.53,33.36
Alabama,2y all,34.5,37.15
Alabama,2y all,23.73,36.1
Alabama,2y all,64.5,36.69
Alabama,2y all,58.33,42.14
Alabama,2y all,39.55,41.9
Alabama,2y all,46.99,36.59
Alabama,2y all,67.61,42.6
Alabama,2y all,37.93,39.9
Alabama,2y all,67.32,42.28
Alabama,2y all,39.55,37.88
Alabama,2y all,36.02,36.06
Alabama,2y all,66.27,37.88
Alabama,2y all,61.11,36.53
Alabama,2y all,44.29,34.55
Alabama,2y all,27.82,33.96
Alabama,2y all,44.54,37.73
Alabama,2y all,60.49,39.69
Alabama,2y all,47.84,33.78
Alabama,2y all,55.84,35.35
Alabama,2y all,26.61,36.77
Alabama,2y all,44.61,42.5
Alabama,2y all,58.12,38.87
Alabama,2y all,33.16,37.18
Alabama,2y all,49.09,40.67
Alabama,2y all,29.11,42.58
Alabama,2y all,46.99,34.94
Alabama,2y all,24.28,38.66
Alabama,2y all,43.79,37.92
Alabama,2y all,25.11,36.92
Alabama,2y all,67.75,41.4
Alabama,2y all,23.21,39.39
Alabama,2y all,63.73,37.29
Alabama,2y all,24.27,33.9
Alabama,2y all,49.59,35.43
Alabama,2y all,27.64,35.8
Alabama,2y all,62.27,36.08
Alabama,2y all,58.46,42.35
Alabama,2y all,55.79,35.67
Alabama,2y all,67.96,39.07
Alabama,2y all,47.91,40.32
Alabama,2y all,48.6,33.06
Alabama,2y all,52.18,41.62
Alabama,2y all,55.69,42.08
Alabama,2y all,51.99,35.27
Alabama,2y all,37.46,35.94
Alabama,2y all,63.63,37.73
Alabama,2y all,23.76,34.52
